insee,code_posta,nom_com,cv,nom_cv,dep,nom_dep,reg,nom_reg,libgeo,APL2023,code_qual,chom_24,population,count_coll,count_ecol,count_lyce,BUS_valeur,BUS_val_1,TRAIN_valeur,TRAIN_val_1,METRO_valeur,METRO_val_1,TRAM_valeur,TRAM_val_1,paysage,nb_comm,nb_cultu,nb_com_ali,nb_gd_surf,nb_loisirs,nb_sport,nb_creche,avg_price_sqm,median_price_sqm,total_transactions,transactions_last_year,price_evolution_1y,price_evolution_3y,avg_rent_sqm,rent_quality,nb_obs_commune,score_1deg,score_2nddeg,score_transp,score_sante,score_economique,score_sport_loisirs,score_culture,score_immo,latitude,longitude
61494,61160.0,Trun,6105,Argentan-2,61,Orne,28,Normandie,Trun,2.0,2.0,6.8,1225.0,1,2,0,1.69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,17.0,2.0,8.0,1.0,28.0,28.0,2.0,2149.63,1198.72,79.0,79.0,-21.82,3.49,8.81124117250336,0.78434561548357,118.0,90.0,92.0,52.0,21.0,32.0,47.0,23.0,55.83,48.851,0.046
61464,61500.0,Sées,6119,Sées,61,Orne,28,Normandie,Sâ€šes,3.5,2.0,6.8,4600.0,4,3,1,1.2,5.0,0.24,1.0,0.0,0.0,0.0,0.0,plaine,21.0,4.0,14.0,3.0,38.0,38.0,0.0,1799.04,1375.0,196.0,196.0,-3.35,-18.23,8.37708281109636,0.713253258667955,766.0,86.0,99.0,57.0,69.0,59.0,63.0,51.0,56.02,48.605,0.169
61466,61100.0,La Selle-la-Forge,6114,Flers-2,61,Orne,28,Normandie,La Selle-la-Forge,2.6,2.0,6.8,1422.0,0,1,0,6.45,9.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,145.0,9.0,60.0,10.0,89.0,89.0,0.0,1464.13,1421.43,105.0,105.0,2.71,-3.91,9.38019743616454,0.716811049633378,1.0,56.0,44.0,83.0,39.0,96.0,95.0,88.0,56.04,48.735,-0.533
61467,61250.0,Semallé,6117,Radon,61,Orne,28,Normandie,Semallâ€š,3.5,2.0,6.8,384.0,0,0,0,5.49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,35.0,3.0,18.0,3.0,76.0,76.0,0.0,2026.18,1971.72,18.0,18.0,-43.96,-4.75,8.61825143702166,0.750249768736038,6.0,20.0,44.0,80.0,69.0,68.0,92.0,38.0,54.12,48.474,0.155
61472,61200.0,Sévigny,6104,Argentan-1,61,Orne,28,Normandie,Sâ€švigny,2.8,2.0,6.8,311.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,89.0,5.0,36.0,12.0,65.0,65.0,0.0,1331.77,1037.04,5.0,5.0,,,9.23425285770974,0.529989430800842,0.0,20.0,44.0,21.0,47.0,91.0,87.0,61.0,56.79,48.773,-0.02
61475,61380.0,Soligny-la-Trappe,6116,Mortagne-au-Perche,61,Orne,28,Normandie,Soligny-la-Trappe,3.7,2.0,6.8,637.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,7.0,1.0,8.0,0.0,16.0,16.0,0.0,1323.23,1224.49,42.0,42.0,-1.03,-15.23,10.6431890466055,0.78571110392683,17.0,56.0,44.0,21.0,75.0,27.0,23.0,10.0,56.47,48.627,0.549
61476,61360.0,Suré,6109,Ceton,61,Orne,28,Normandie,Surâ€š,2.7,2.0,6.8,283.0,0,0,0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,5.0,2.0,1.0,0.0,16.0,16.0,0.0,1975.0,1975.0,31.0,31.0,35.84,82.31,8.38464630153814,0.761776815919445,0.0,20.0,44.0,69.0,43.0,1.0,23.0,23.0,54.18,48.369,0.406
45101,45530.0,Combreux,4503,Châteauneuf-sur-Loire,45,Loiret,24,Centre-Val de Loire,Combreux,1.1,2.0,7.2,276.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,4.0,2.0,7.0,1.0,14.0,14.0,0.0,1618.9,1619.05,31.0,31.0,-11.31,-17.1,9.51390090171279,0.826603217755359,0.0,20.0,44.0,21.0,5.0,27.0,19.0,23.0,55.3,47.956,2.308
61479,61150.0,Tanques,6115,Magny-le-Désert,61,Orne,28,Normandie,Tanques,3.2,2.0,6.8,163.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,8.0,2.0,12.0,3.0,23.0,23.0,0.0,1267.46,1267.46,22.0,22.0,-38.04,-8.91,10.7621547231667,0.78434561548357,0.0,20.0,44.0,21.0,60.0,54.0,38.0,23.0,56.38,48.686,-0.074
82119,82270.0,Montalzat,8211,Quercy-Aveyron,82,Tarn-et-Garonne,76,Occitanie,Montalzat,3.3,,8.5,680.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,6.0,1.0,3.0,1.0,12.0,12.0,0.0,1803.63,1882.35,91.0,91.0,23.7,-0.21,10.6294522536295,0.793850077495351,7.0,20.0,44.0,21.0,63.0,10.0,15.0,10.0,54.68,44.208,1.517
61497,61250.0,Valframbert,6110,Damigny,61,Orne,28,Normandie,Valframbert,3.2,2.0,6.8,1708.0,0,1,0,1.77,3.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,35.0,3.0,18.0,3.0,76.0,76.0,0.0,1685.41,1538.46,79.0,79.0,5.07,-24.41,8.45343075555217,0.713253258667955,3.0,56.0,44.0,53.0,60.0,68.0,92.0,38.0,55.52,48.465,0.111
38437,38140.0,Saint-Paul-d'Izeaux,3801,Bièvre,38,Isère,84,Auvergne-Rhône-Alpes,Saint-Paul-d'Izeaux,2.5,2.0,5.9,313.0,0,0,0,6.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,montagne,49.0,9.0,39.0,2.0,63.0,63.0,0.0,1384.82,1384.82,31.0,31.0,-22.32,-29.38,10.2673391805346,0.729773982298272,5.0,20.0,44.0,84.0,36.0,88.0,86.0,88.0,56.04,45.314,5.432
64228,64120.0,Gabat,6422,"Pays de Bidache, Amikuze et Ostibarre",64,Pyrénées-Atlantiques,75,Nouvelle-Aquitaine,Gabat,4.4,3.0,5.6,280.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,40.0,7.0,19.0,5.0,107.0,107.0,0.0,0.0,0.0,9.0,9.0,,,11.638312757841,0.777127637981648,10.0,56.0,44.0,21.0,89.0,73.0,97.0,78.0,0.0,43.376,-1.031
