NOMRS;CODPOS;LIBCOM;LONGITUDE;LATITUDE;BPE24_varmod.LIB_MOD;BPE24_varmod.LIB_MOD.1;#Code_commune_INSEE
CIRCUIT DE RANDONNÉE PÉDESTRE;63000;CLERMONT-FERRAND;3,07181;45,79638;BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION;Equipements de loisirs;63113
PARCOURS D'ORIENTATION DU JARDIN LECOQ;63000;CLERMONT-FERRAND;3,08849;45,77251;BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION;Equipements de loisirs;63113
PARCOURS D'ORIENTATION DU PARC MONTJUZET;63000;CLERMONT-FERRAND;3,07195;45,78895;BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION;Equipements de loisirs;63113
PARCOURS D'ORIENTATION LE CREUX DE L'ENFER;63000;CLERMONT-FERRAND;3,11451;45,7664;BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION;Equipements de loisirs;63113
PARCOURS COURSE D'ORIENTATION CROIX DE NEYRAT;63000;CLERMONT-FERRAND;3,10359;45,81272;BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION;Equipements de loisirs;63113
63 - MÉDIATHÈQUE DÉPARTEMENTALE DU PUY-DE-DÔME;63100;CLERMONT-FERRAND;3,11259;45,81112;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
BIBLIOTHÈQUE DU PATRIMOINE;63100;CLERMONT-FERRAND;3,08836;45,77395;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
ANNEXE ANATOLE FRANCE;63100;CLERMONT-FERRAND;3,11254;45,77823;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
RÉSERVE CURIE;63100;CLERMONT-FERRAND;3,07559;45,79353;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
ANNEXE LA GLACIÈRE;63100;CLERMONT-FERRAND;3,07559;45,79353;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
LA JETÉE;63100;CLERMONT-FERRAND;3,08944;45,77703;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
MÉDIATHÈQUE DE JAUDE;63100;CLERMONT-FERRAND;3,08411;45,77474;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
MÉDIATHÈQUE JACK-RALITE;63100;CLERMONT-FERRAND;3,10788;45,80949;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
ANNEXE JEAN ZAY;63100;CLERMONT-FERRAND;3,0603;45,78978;BIBLIOTHÈQUE;Equipements culturels et socioculturels;63113
LE RIO;63100;CLERMONT-FERRAND;3,10854;45,80362;CINÉMA;Equipements culturels et socioculturels;63113
LES AMBIANCES;63100;CLERMONT-FERRAND;3,08109;45,77846;CINÉMA;Equipements culturels et socioculturels;63113
LE PARIS;63100;CLERMONT-FERRAND;3,08043;45,77463;CINÉMA;Equipements culturels et socioculturels;63113
CAPITOLE;63100;CLERMONT-FERRAND;3,08138;45,77614;CINÉMA;Equipements culturels et socioculturels;63113
JAUDE;63100;CLERMONT-FERRAND;3,08171;45,77617;CINÉMA;Equipements culturels et socioculturels;63113
CGR CLERMONT FERRAND VAL ARENA;63100;CLERMONT-FERRAND;3,11269;45,81354;CINÉMA;Equipements culturels et socioculturels;63113
MUSÉE D'ART ROGER-QUILLOT;63100;CLERMONT-FERRAND;3,11645;45,79411;EXPOSITION ET MÉDIATION CULTURELLE;Equipements culturels et socioculturels;63113
FRAC - CLERMONT-FERRAND;63000;CLERMONT-FERRAND;3,08686;45,77833;EXPOSITION ET MÉDIATION CULTURELLE;Equipements culturels et socioculturels;63113
MUSÉUM D'HISTOIRE NATURELLE HENRI-LECOQ;63100;CLERMONT-FERRAND;3,0888;45,77422;EXPOSITION ET MÉDIATION CULTURELLE;Equipements culturels et socioculturels;63113
MUSÉE D'ARCHÉOLOGIE BARGOIN;63100;CLERMONT-FERRAND;3,08704;45,77425;EXPOSITION ET MÉDIATION CULTURELLE;Equipements culturels et socioculturels;63113
ORCHESTRE NATIONAL D'AUVERGNE;63000;CLERMONT-FERRAND;3,08259;45,77768;ARTS DU SPECTACLE;Equipements culturels et socioculturels;63113
LA COOPÉRATIVE DE MAI;63000;CLERMONT-FERRAND;3,09942;45,78812;ARTS DU SPECTACLE;Equipements culturels et socioculturels;63113
COUR DES TROIS COQUINS;63100;CLERMONT-FERRAND;3,10809;45,77952;ARTS DU SPECTACLE;Equipements culturels et socioculturels;63113
COMÉDIE DE CLERMONT-FERRAND;63100;CLERMONT-FERRAND;3,08492;45,77155;ARTS DU SPECTACLE;Equipements culturels et socioculturels;63113
COMMUNE DE CLERMONT-FERRAND - ARCHIVES MUNICIPALES;63100;CLERMONT-FERRAND;3,08607;45,77968;ARCHIVES;Equipements culturels et socioculturels;63113
ARCHIVES DÉPARTEMENTALES DU PUY-DE-DÔME;63100;CLERMONT-FERRAND;3,10232;45,80719;ARCHIVES;Equipements culturels et socioculturels;63113
